UWI,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cement Amount,Cement Type,Cement Unit
100/10-01-044-13W4/00,DEEPER-POOLTEST,Vertical,DEVONIAN SYSTEM,,KILLAM NORTH,,20051201,965,0,20051206,TEMPCO DRILLING LTD,,,,Abandoned Zone,377.2,316.5,PRIMARY,,,,,,,,YES,360,AB5,Medicine Hat,,,,20211015,,,20051204,691,,,,,,,,,,,,,,,,,0342718,2,,,,,,,21.5,GPSL/GPCEM/THX,Tonnes
100/09-32-025-20W4/00,DEVELOPMENT,Vertical,MEDICINE HAT SD,HUSSAR COMMINGLED MFP9501,HUSSAR,,20071023,927,0,20071113,TECHNICOIL CORPORATION,5,,20230701,Flowing Gas,579.2,381,PRIMARY,,895,890,,,3328.712,EDMONTON K,YES,140,AB3,Calgary/Edmonton,0,2.5159242,0,,0,0.4,20071113,956.2,104,,1.26,0.35,,0.04,17.93,0.06,,0,0,,256,4,9138,37,0380554,1,0,,546.7,19306.527,,0,3.8,CLASS G NEAT,Tonnes
100/09-32-025-20W4/00,DEVELOPMENT,Vertical,MEDICINE HAT SD,HUSSAR COMMINGLED MFP9501,HUSSAR,,20071023,927,0,20071113,TECHNICOIL CORPORATION,5,,20230701,Flowing Gas,579.2,381,PRIMARY,,895,890,,,3328.712,EDMONTON K,YES,140,AB3,Calgary/Edmonton,0,2.5159242,0,,0,0.4,20071113,956.2,104,,1.26,0.35,,0.04,17.93,0.06,,0,0,,256,4,9138,37,0380554,1,0,,546.7,19306.527,,0,15,LIGHT WEIGHT,Tonnes
100/07-30-090-01W6/00,NEW POOL WILDCAT,Vertical,DEBOLT FM,,UNDEFINED,,20040212,820,0,20040219,SIMMONS EDECO INC.,,,,Abandoned,502.82,167.8,PRIMARY,,,,,,,,,140,AB7,Drayton Valley/Grande Prairie,,,,20040228,,,20040216,667,,,,,,,,,,,,,,,,,0302082,,,,,,,,10,CLASS G NEAT,Tonnes
102/16-35-049-11W4/00,DEVELOPMENT,Vertical,SPARKY MBR,BIRCH UPPER MANNVILLE DDD,BIRCH,,20010915,669.1,0,20010918,TEMPCO DRILLING COMPANY INC.,7,,20140401,Abandoned Gas,434,251.1,PRIMARY,,669.1,662.5,,,42079.86,UPPER MANNVILLE DDD,,140,AB4,Medicine Hat,0,2177.5325,0,20141210,0,346.2,20011005,682.2,396.86,,0.36,21.86,,0.5,68.42,3.77,,0,0,,,,,,0259353,2,0,,6911.1,244063.19,,0,7.6,CLASS G NEAT,Tonnes
102/16-35-049-11W4/00,DEVELOPMENT,Vertical,SPARKY MBR,BIRCH UPPER MANNVILLE DDD,BIRCH,,20010915,669.1,0,20010918,TEMPCO DRILLING COMPANY INC.,7,,20140401,Abandoned Gas,434,251.1,PRIMARY,,669.1,662.5,,,42079.86,UPPER MANNVILLE DDD,,140,AB4,Medicine Hat,0,2177.5325,0,20141210,0,346.2,20011005,682.2,396.86,,0.36,21.86,,0.5,68.42,3.77,,0,0,,,,,,0259353,2,0,,6911.1,244063.19,,0,11,GPSL/GPCEM/THX,Tonnes
100/10-30-044-13W4/00,DEEPER-POOLTEST,Vertical,WABAMUN GRP,,KILLAM NORTH,,20090127,932,0,20090130,TEMPCO DRILLING LTD,,,,Abandoned,373.6,302.9,PRIMARY,,,,,,,,,360,AB5,Medicine Hat,,,,20130701,,,20090129,672.8,,,,,,,,,,,,,,,,,0407506,,,,,,,,13,CLASS A NEAT,Tonnes
100/10-30-044-13W4/00,DEEPER-POOLTEST,Vertical,WABAMUN GRP,,KILLAM NORTH,,20090127,932,0,20090130,TEMPCO DRILLING LTD,,,,Abandoned,373.6,302.9,PRIMARY,,,,,,,,,360,AB5,Medicine Hat,,,,20130701,,,20090129,672.8,,,,,,,,,,,,,,,,,0407506,,,,,,,,16,CLASS G NEAT,Tonnes
104/04-36-036-05W4/00,DEVELOPMENT,Deviated,2490,PROVOST CUMMINGS A,PROVOST,,20080712,919,884.04,20080716,TRINIDAD DRILLING LTD.,2,,20090201,Abandoned Crude Oil,372.1,310.1,WATER FLOOD,Waterflood,868.5,866.5,,,229.443,CUMMINGS A,,280,AB4,Medicine Hat,0,996.935,206.30579,20211111,32.8,158.5,20080715,677.6,0.79,1.38,6.77,0.71,0.92,4.35,1.52,1.04,,0,0,,,1,6276,34,0398226,1,0,,3.8,134.19574,,0,13,CLASS C NEAT,Tonnes
104/04-36-036-05W4/00,DEVELOPMENT,Deviated,2490,PROVOST CUMMINGS A,PROVOST,,20080712,919,884.04,20080716,TRINIDAD DRILLING LTD.,2,,20090201,Abandoned Crude Oil,372.1,310.1,WATER FLOOD,Waterflood,868.5,866.5,,,229.443,CUMMINGS A,,280,AB4,Medicine Hat,0,996.935,206.30579,20211111,32.8,158.5,20080715,677.6,0.79,1.38,6.77,0.71,0.92,4.35,1.52,1.04,,0,0,,,1,6276,34,0398226,1,0,,3.8,134.19574,,0,25,LIGHT WEIGHT,Tonnes
1C3/12-10-040-03W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST COMMINGLED POOL 129,PROVOST,,19950625,884,856.21,19950629,PRECISION DRILLING CORPORATION,1,,20070501,Abandoned Crude Oil,414.6,287.8,PRIMARY,,835,834,,,51765.953,CUMMINGS I,,BWL,AB4,Medicine Hat,0,2271659,47028.914,20210522,7477,361164.9,19950628,698.5,4.33,71.7,62.35,0.58,2.31,283.34,72.45,2.41,,0,0,,,4,5430,30,0175389,1,0,,778,27474.81,,0,15,CLASS G NEAT,Tonnes
1C3/12-10-040-03W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST COMMINGLED POOL 129,PROVOST,,19950625,884,856.21,19950629,PRECISION DRILLING CORPORATION,1,,20070501,Abandoned Crude Oil,414.6,287.8,PRIMARY,,835,834,,,51765.953,CUMMINGS I,,BWL,AB4,Medicine Hat,0,2271659,47028.914,20210522,7477,361164.9,19950628,698.5,4.33,71.7,62.35,0.58,2.31,283.34,72.45,2.41,,0,0,,,4,5430,30,0175389,1,0,,778,27474.81,,0,17.6,1:1:2 POZ,Tonnes
1C3/12-10-040-03W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST COMMINGLED POOL 129,PROVOST,,19950625,884,856.21,19950629,PRECISION DRILLING CORPORATION,1,,20070501,Abandoned Crude Oil,414.6,287.8,PRIMARY,,835,834,,,51765.953,CUMMINGS I,,BWL,AB4,Medicine Hat,0,2271659,47028.914,20210522,7477,361164.9,19950628,698.5,4.33,71.7,62.35,0.58,2.31,283.34,72.45,2.41,,0,0,,,4,5430,30,0175389,1,0,,778,27474.81,,0,10,GPSL/GPCEM/THX,Tonnes
102/03-10-037-05W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST DINA OO,PROVOST,,19980222,1026,996.34,19980301,TRI-CITY DRILLING INC.,713,,20090701,Abandoned Crude Oil,363.4,409.9,PRIMARY,,970,257,,,25602.95,DINA OO,YES,BWL,AB4,Medicine Hat,0,44068.93,21840.11,20211111,3472.3,7006.4,19980226,769.2,5.38,14.97,14.94,0.94,1.22,1.84,15.9,1.38,,0,0,,65,4,6248,27,0213219,3,0,,618,21824.465,,0,13,CLASS G NEAT,Tonnes
102/03-10-037-05W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST DINA OO,PROVOST,,19980222,1026,996.34,19980301,TRI-CITY DRILLING INC.,713,,20090701,Abandoned Crude Oil,363.4,409.9,PRIMARY,,970,257,,,25602.95,DINA OO,YES,BWL,AB4,Medicine Hat,0,44068.93,21840.11,20211111,3472.3,7006.4,19980226,769.2,5.38,14.97,14.94,0.94,1.22,1.84,15.9,1.38,,0,0,,65,4,6248,27,0213219,3,0,,618,21824.465,,0,24,GPSL/GPCEM/THX,Tonnes
102/03-10-037-05W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST DINA OO,PROVOST,,19980222,1026,996.34,19980301,TRI-CITY DRILLING INC.,713,,20090701,Abandoned Crude Oil,363.4,409.9,PRIMARY,,970,257,,,25602.95,DINA OO,YES,BWL,AB4,Medicine Hat,0,44068.93,21840.11,20211111,3472.3,7006.4,19980226,769.2,5.38,14.97,14.94,0.94,1.22,1.84,15.9,1.38,,0,0,,65,4,6248,27,0213219,3,0,,618,21824.465,,0,10,CLASS G NEAT,Tonnes
102/10-29-048-16W4/00,DEEPER-POOLTEST,Vertical,IRETON FM,,BRUCE,,19970821,1070,0,19970826,TRI-CITY DRILLING INC.,,,,Abandoned,364.4,342,PRIMARY,,,,,,,,,BWL,AB5,Calgary/Edmonton,,,,19970915,,,19970824,701.2,,,,,,,,,,,,,,,,,0204832,,,,,,,,9,CLASS G NEAT,Tonnes
100/08-07-098-06W6/00,NEW POOL WILDCAT,Vertical,GILWOOD MBR,,UNDEFINED,,20080109,2199,0,20080123,PANTERA DRILLING INC,,,,Abandoned,584.45,83.9,PRIMARY,,,,,,,,,140,AB7,High Level,,,,20080123,,,20080120,662.4,,,,,,,,,,,,,,,,,0389638,,,,,,,,27,CLASS G NEAT,Tonnes
100/11-33-015-22W4/00,DEVELOPMENT SERVICE,Vertical,GLAUCONITIC SS,LONG COULEE GLAUCONITIC Q,LONG COULEE,INJECTION,19950815,1529,0,19950823,CACTUS DRILLING & EXPLORATION LTD,4,20121201,,Abandoned Zone Water Injection,661.5,353.5,PRIMARY,Waterflood,1522,1518.5,,,0,GLAUCONITIC Q,,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19950822,1010.5,,,,,,,,,,0,23583.6,0,,1,14057,47,0179873,5,0,0,0,0,,148336.38,15,CLASS A NEAT,Tonnes
100/11-33-015-22W4/00,DEVELOPMENT SERVICE,Vertical,GLAUCONITIC SS,LONG COULEE GLAUCONITIC Q,LONG COULEE,INJECTION,19950815,1529,0,19950823,CACTUS DRILLING & EXPLORATION LTD,4,20121201,,Abandoned Zone Water Injection,661.5,353.5,PRIMARY,Waterflood,1522,1518.5,,,0,GLAUCONITIC Q,,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19950822,1010.5,,,,,,,,,,0,23583.6,0,,1,14057,47,0179873,5,0,0,0,0,,148336.38,56,1:1:2 POZ,Tonnes
100/11-33-015-22W4/00,DEVELOPMENT SERVICE,Vertical,GLAUCONITIC SS,LONG COULEE GLAUCONITIC Q,LONG COULEE,INJECTION,19950815,1529,0,19950823,CACTUS DRILLING & EXPLORATION LTD,4,20121201,,Abandoned Zone Water Injection,661.5,353.5,PRIMARY,Waterflood,1522,1518.5,,,0,GLAUCONITIC Q,,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19950822,1010.5,,,,,,,,,,0,23583.6,0,,1,14057,47,0179873,5,0,0,0,0,,148336.38,5.9,GPSL/GPCEM/THX,Tonnes
103/03-22-038-03W4/00,DEVELOPMENT,Vertical,BASAL QUARTZ SD,PROVOST MANNVILLE L,PROVOST,,19971029,869,0,19971102,PRECISION DRILLING CORPORATION,4,,20021201,Abandoned Zone Crude Oil,381,313.8,PRIMARY,,833.5,829.7,,,18100.541,MANNVILLE L,YES,BWL,AB4,Medicine Hat,0,572896.75,17330.316,20171128,2755.3,91083.3,19971101,691.1,1.37,40.67,85.29,1.38,3.99,271.22,40.91,4.23,,0,0,,553,5,5955,28,0207383,3,0,,126.5,4467.305,,0,12,CLASS G NEAT,Tonnes
103/03-22-038-03W4/00,DEVELOPMENT,Vertical,BASAL QUARTZ SD,PROVOST MANNVILLE L,PROVOST,,19971029,869,0,19971102,PRECISION DRILLING CORPORATION,4,,20021201,Abandoned Zone Crude Oil,381,313.8,PRIMARY,,833.5,829.7,,,18100.541,MANNVILLE L,YES,BWL,AB4,Medicine Hat,0,572896.75,17330.316,20171128,2755.3,91083.3,19971101,691.1,1.37,40.67,85.29,1.38,3.99,271.22,40.91,4.23,,0,0,,553,5,5955,28,0207383,3,0,,126.5,4467.305,,0,18,GPSL/GPCEM/THX,Tonnes
103/03-22-038-03W4/00,DEVELOPMENT,Vertical,BASAL QUARTZ SD,PROVOST MANNVILLE L,PROVOST,,19971029,869,0,19971102,PRECISION DRILLING CORPORATION,4,,20021201,Abandoned Zone Crude Oil,381,313.8,PRIMARY,,833.5,829.7,,,18100.541,MANNVILLE L,YES,BWL,AB4,Medicine Hat,0,572896.75,17330.316,20171128,2755.3,91083.3,19971101,691.1,1.37,40.67,85.29,1.38,3.99,271.22,40.91,4.23,,0,0,,553,5,5955,28,0207383,3,0,,126.5,4467.305,,0,5,GPSL/GPCEM/THX,Tonnes
102/07-05-093-25W5/00,DEVELOPMENT,Vertical,BLUESKY FM,HOTCHKISS BLUESKY K,HOTCHKISS,,20000317,775.1,0,20000320,SIMMONS EDECO INC.,3,,20011101,Abandoned Gas,498.79,264.2,PRIMARY,,775.1,771.9,,,45058.473,BLUESKY K,,BWL,AB7,High Level,0,223.28828,0,20020815,0,35.5,20000320,759.7,1100.92,,0.13,19.81,,1.55,189.81,3.42,,0,0,,,,,,0235154,,0,,7400.3,261339.12,,0,8.5,CLASS G NEAT,Tonnes
102/07-05-093-25W5/00,DEVELOPMENT,Vertical,BLUESKY FM,HOTCHKISS BLUESKY K,HOTCHKISS,,20000317,775.1,0,20000320,SIMMONS EDECO INC.,3,,20011101,Abandoned Gas,498.79,264.2,PRIMARY,,775.1,771.9,,,45058.473,BLUESKY K,,BWL,AB7,High Level,0,223.28828,0,20020815,0,35.5,20000320,759.7,1100.92,,0.13,19.81,,1.55,189.81,3.42,,0,0,,,,,,0235154,,0,,7400.3,261339.12,,0,9.5,1:1:2 POZ,Tonnes
102/07-05-093-25W5/00,DEVELOPMENT,Vertical,BLUESKY FM,HOTCHKISS BLUESKY K,HOTCHKISS,,20000317,775.1,0,20000320,SIMMONS EDECO INC.,3,,20011101,Abandoned Gas,498.79,264.2,PRIMARY,,775.1,771.9,,,45058.473,BLUESKY K,,BWL,AB7,High Level,0,223.28828,0,20020815,0,35.5,20000320,759.7,1100.92,,0.13,19.81,,1.55,189.81,3.42,,0,0,,,,,,0235154,,0,,7400.3,261339.12,,0,7.5,CLASS G NEAT,Tonnes
102/07-29-038-03W4/00,OUTPOST,Deviated,IRETON FM,,PROVOST,,20121130,943,849.98,20121204,TRINIDAD DRILLING LTD.,,,,Abandoned,393,285.1,,,,,,,,,,280,AB4,Medicine Hat,,,,20181112,,,20121202,674,,,,,,,,,,,,,,,,,0450791,1,,,,,,,12.8,CLASS A NEAT,Tonnes
102/07-29-038-03W4/00,OUTPOST,Deviated,IRETON FM,,PROVOST,,20121130,943,849.98,20121204,TRINIDAD DRILLING LTD.,,,,Abandoned,393,285.1,,,,,,,,,,280,AB4,Medicine Hat,,,,20181112,,,20121202,674,,,,,,,,,,,,,,,,,0450791,1,,,,,,,21.5,LIGHT WEIGHT,Tonnes
100/14-25-021-16W4/02,DEEPER-POOLTEST,Vertical,BASAL QUARTZ SD,COUNTESS COMMINGLED MFP9501,COUNTESS,,19930114,1120,0,19930120,ARTISAN CORPORATION,634,,20230701,Flowing Gas,526.3,208.6,PRIMARY,,1045,411,,,17436.922,BELLY RIVER D4D,YES,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19930119,730.8,48.56,,,9.06,,,8.37,1.56,,0,0,,,2,,,0155211,11,0,,2863.8,101134.14,,0,13,CLASS G NEAT,Tonnes
100/14-25-021-16W4/02,DEEPER-POOLTEST,Vertical,BASAL QUARTZ SD,COUNTESS COMMINGLED MFP9501,COUNTESS,,19930114,1120,0,19930120,ARTISAN CORPORATION,634,,20230701,Flowing Gas,526.3,208.6,PRIMARY,,1045,411,,,17436.922,BELLY RIVER D4D,YES,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19930119,730.8,48.56,,,9.06,,,8.37,1.56,,0,0,,,2,,,0155211,11,0,,2863.8,101134.14,,0,12.8,G + 4 PC GEL,Tonnes
100/14-25-021-16W4/02,DEEPER-POOLTEST,Vertical,BASAL QUARTZ SD,COUNTESS COMMINGLED MFP9501,COUNTESS,,19930114,1120,0,19930120,ARTISAN CORPORATION,634,,20230701,Flowing Gas,526.3,208.6,PRIMARY,,1045,411,,,17436.922,BELLY RIVER D4D,YES,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19930119,730.8,48.56,,,9.06,,,8.37,1.56,,0,0,,,2,,,0155211,11,0,,2863.8,101134.14,,0,9,CLASS G NEAT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,37,CLASS G NEAT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,35.8,LIGHT WEIGHT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,10,CLASS G NEAT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,0,UNCEM CSG/LINER,
