Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
BRUCE,NEW FIELD WILDCAT,Vertical,,,,19520607,1348.1,0,100/10-29-048-16W4/04,,,,,,Abandoned,364.4,339.7,PRIMARY,,,,1269.5,COOKING LAKE FM,,,YES,BWL,AB5,Calgary/Edmonton,,,,20021027,,,19520702,701,,,,,,,,,,,,,,,,,0004752,9,,,,,,,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
BRUCE,NEW FIELD WILDCAT,Vertical,,BRUCE ELLERSLIE K,,19520607,1348.1,0,100/10-29-048-16W4/00,,,14,,19770901,Abandoned Zone Gas,364.4,339.7,PRIMARY,,957.4,943.4,1269.5,COOKING LAKE FM,65861.24,ELLERSLIE K,YES,BWL,AB5,Calgary/Edmonton,0,9503.904,0,20021027,0,1511,19520702,701,911.32,,0.09,10.1,,0.19,157.12,1.74,,0,0,,,,,,0004752,9,0,,10816.9,381995.22,,0,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
PROVOST,OUTPOST,Vertical,,PROVOST COMMINGLED MFP9515,INJECTION,19521228,912.9,0,100/02-02-035-09W4/00,,,1,19961101,19690901,Abandoned Water Injection,364.8,422.8,PRIMARY,,902.2,901,888.5,VIKING SANDSTONE,78539.22,BELLY RIVER DD,,BWL,AB4,Medicine Hat,0,61.011166,65480.703,20101020,10410.6,9.7,19530102,783.6,25.95,12.24,,3.15,10.02,0.98,16.71,10.56,,0,301521.7,0,,2,,,0005886,2,0,0,2144.7,75739.37,,1896514.4,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
LEDUC-WOODBEND,DEVELOPMENT,Deviated,LEDUC FM,LEDUC-WOODBEND D-3 A,,19531209,1645,1644.86,100/06-35-049-26W4/00,,,6,,19830401,Abandoned Crude Oil,379.79,349.3,PRIMARY,,1645,1639.1,1639.8,LEDUC FM,305363.28,D-3 A,,BWL,AB5,Calgary/Edmonton,0,230565.6,279248.1,19940615,44396.9,36657,19531227,726,44.61,66.82,19.42,6.03,7.1,97.51,74.51,8.14,,0,0,,,8,,,0006102,3,0,,4289.1,151468.14,,0,17731,7591,20924,21259,21799,17611,39410,14813,13333,10062,24875,140575,3193
JOARCAM,DEVELOPMENT,Vertical,,JOARCAM VIKING,,19531122,1005.8,0,100/05-09-049-21W4/00,,,4,,19930201,Abandoned Crude Oil,554.5,210.2,PRIMARY,Waterflood,997.9,994.3,994.3,VIKING SANDSTONE,301430.88,VIKING,,BWL,AB5,Calgary/Edmonton,0,292252.9,242021.86,19990905,38478.4,46464.5,19531128,761.4,23.24,25.46,0.46,4.75,1.84,77.24,29.47,2.66,,0,0,,,2,4151,37,0007360,5,0,,9757.2,344572.28,,0,3715,832,4921,3911,5655,1618,7273,4305,4089,875,5180,44480,1206
PROVOST,OUTPOST,Vertical,,PROVOST COMMINGLED MFP9515,,19531127,813.8,0,100/06-06-036-05W4/00,,,8,,20051001,Abandoned Gas,366.6,389.9,PRIMARY,,794,785.8,787.9,VIKING SANDSTONE,685737.25,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,2077.5244,403.17688,20070428,64.1,330.3,19531210,752.9,582.46,0.67,0.29,5.62,0.62,0.51,101.09,1.59,,0,0,,,2,,,0007362,10,0,,112557.7,3974937.8,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,OUTPOST,Vertical,,PROVOST COMMINGLED MFP9515,,19540113,694.9,0,100/06-01-037-05W4/00,,,3,,20230501,Pumping Gas,370.5,291.2,PRIMARY,,679.7,676.7,675.7,VIKING SANDSTONE,671606.6,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,874.2837,6.2898107,,1,139,19540127,658.7,540.96,0.34,0.04,8.21,0.07,0.3,93.61,1.49,,0,0,,,2,,,0007577,1,0,,110302.1,3895282,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19540221,1600.2,0,100/12-15-048-08W5/00,,,11,,20050701,Abandoned Crude Oil,398.2,497.9,WATER FLOOD,Waterflood,1582.5,1571.5,1568.2,CARDIUM SD,951295.56,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,1674467.1,874141.56,20170108,138977.4,266219,19540304,897,52.18,79.54,2.34,3.8,1.72,98.08,88.54,2.38,,0,0,,,5,,52,0007703,5,0,,12671.6,447493.34,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,OUTPOST,Vertical,,PEMBINA CARDIUM,INJECTION,19540225,1607.8,0,100/08-35-047-08W5/00,,,7,20190901,19611201,Suspended Water Injection,397.23,488.2,WATER FLOOD,Waterflood,1588,1580.7,1572.5,CARDIUM SD,88951.58,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,57.237278,82927.38,,13184.4,9.1,19540312,885.4,,,,1127.11,2675.08,1.85,0,2869.41,,0,330546.5,0,,5,,52,0007716,1,0,0,989.4,34940.332,,2079074.9,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19540723,1580.7,0,100/04-15-049-08W5/00,,,16,,19881001,Abandoned Crude Oil,438.79,509.1,WATER FLOOD,Waterflood,1580.7,1564.8,1564.5,CARDIUM SD,1034914.56,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,949357,976513.25,19890624,155253.2,150935.7,19540805,946,28.14,96.55,1.89,12.55,53.59,141.39,101.4,55.75,,0,0,,,5,,52,0008176,,0,,9591.7,338727.7,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19540718,1460,0,100/02-17-049-07W5/00,,,14,,20110301,Abandoned Crude Oil,470.19,401.8,WATER FLOOD,Waterflood,1460,1446.3,1447.2,CARDIUM SD,1332770.2,CARDIUM,,BWL,AB5,Drayton Valley/Grande Prairie,0,3420736.2,1189646.6,20141208,189138.7,543853.6,19540802,868.4,219.59,80.05,0.26,3.45,6.13,102.07,117.91,6.72,,0,0,,,5,,52,0008206,2,0,,23506.3,830117.1,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19540912,687.6,0,100/06-02-037-03W4/00,,,1,,20230501,Pumping Gas,375.1,306.7,PRIMARY,,676.7,675.4,672.1,VIKING SANDSTONE,531427.7,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,857.9302,279.89658,,44.5,136.4,19540920,677.9,446.92,0.72,0.06,9.17,0.11,0.35,77.77,1.69,,0,0,,,2,,,0008342,1,0,,87234.5,3080657.2,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
HUSSAR,NEW FIELD WILDCAT,Vertical,,HUSSAR COMMINGLED POOL 005,,19541231,1484.4,0,100/11-10-025-20W4/00,,,3,,19900101,Suspended Gas,593.75,318.3,PRIMARY,,1419.8,1416.7,1440.2,MISSISSIPPIAN SYSTEM,65353.688,BASAL MANNVILLE J,,BWL,AB3,Calgary/Edmonton,0,249.70549,0,,0,39.7,19550124,908.9,574.1,,175.56,24.99,,2.69,102.13,4.39,0.08,7.547773,0,,,5,10076,44,0008669,6,1.2,,10732.3,379007.6,3.15,0,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
HUSSAR,NEW FIELD WILDCAT,Vertical,,HUSSAR VIKING AA,,19541201,1481.3,0,100/07-28-026-20W4/02,,,8,,20230501,Pumping Gas,599.37,302.5,PRIMARY,,1219,1211.5,1454.2,MISSISSIPPIAN SYSTEM,73533.73,VIKING AA,YES,BWL,AB3,Calgary/Edmonton,0,1173.6787,0,,0,186.6,19541217,898.6,386.89,,0.15,11.32,,0.81,66.75,2.77,0.82,116.361496,0,,,,,,0008728,5,18.5,,12057.9,425820.72,0.05,0,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
HUSSAR,NEW FIELD WILDCAT,Vertical,,HUSSAR VIKING C,,19541201,1481.3,0,100/07-28-026-20W4/00,,,7,,20001001,Abandoned Zone Gas,599.37,302.5,PRIMARY,,1262.8,1256.2,1454.2,MISSISSIPPIAN SYSTEM,253989.78,VIKING C,YES,BWL,AB3,Calgary/Edmonton,0,112.587616,0,,0,17.9,19541217,898.6,601.1,,0.14,56.89,,0.02,103.64,9.81,,0,0,,,,,,0008728,5,0,,41714.7,1473140.8,,0,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,INJECTION,19550606,1671.8,0,100/02-11-048-09W5/00,,,14,20220801,19730601,Water Injection,368.7,520.1,WATER FLOOD,Waterflood,1639.5,1625.5,1625.5,CARDIUM SD,462449.2,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,11151.835,429336.8,,68259.1,1773,19550619,885.1,27.62,78.49,1.69,20.77,45.69,4.74,83.25,49.27,,0,66785.68,0,,5,,52,0008845,2,0,0,5438.3,192051.75,,420069.28,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Deviated,CARDIUM SD,PEMBINA CARDIUM,,19550129,1508.5,1486.71,100/04-30-047-07W5/00,,,9,,20170901,Abandoned Crude Oil,402.2,373.8,PRIMARY,Waterflood,1475.2,1466.6,1467.3,CARDIUM SD,701370.94,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,357399,651464,20180825,103574.5,56821.9,19550220,770.5,57.87,136.85,1.17,0.61,1.25,8.06,146.83,1.36,,0,0,,,5,,52,0009057,4,0,,8196.6,289460.2,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550915,1536.2,0,100/04-25-047-08W5/00,,,15,,20170501,Abandoned Crude Oil,385.5,422.8,WATER FLOOD,Waterflood,1516.7,1502.1,1503.3,CARDIUM SD,963413.1,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,1704663.2,902092.8,20171002,143421.3,271019.8,19551012,804.7,32.3,115.34,2.54,2.65,3.11,35.08,120.91,3.57,,0,0,,,5,,52,0009237,7,0,,10071.1,355657.53,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550519,1579.2,0,100/10-26-047-07W5/00,,,4,,19940801,Abandoned Crude Oil,417.79,484.4,WATER FLOOD,Waterflood,1542.5,1538.3,1537.4,CARDIUM SD,324782.4,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,168951.23,295846.9,20170104,47035.9,26861.1,19550529,898.6,12.41,64.09,9.12,1.73,1.05,7.31,66.23,1.35,,0,0,,,5,,52,0009324,4,0,,4752.3,167825.89,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550811,1524.9,0,100/02-34-047-07W5/00,,,6,,20050501,Abandoned Crude Oil,417.49,457.9,WATER FLOOD,Waterflood,1519,1512.7,1512.4,CARDIUM SD,619887.9,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,790678.25,569301.44,20170104,90511.7,125707.8,19550819,871.7,21.36,50.95,35.92,2.69,7.62,35.58,54.63,8.08,,0,0,,,5,,52,0009351,4,0,,8308.2,293401.3,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
HUSSAR,NEW FIELD WILDCAT,Vertical,,,,19550515,1497.2,0,100/12-28-024-20W4/00,,,,,,Abandoned,452.5,457.6,PRIMARY,,,,1456.9,MISSISSIPPIAN SYSTEM,,,,BWL,AB3,Calgary/Edmonton,,,,19550606,,,19550604,907.1,,,,,,,,,,,,,,,,,0009380,,,,,,,,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,INJECTION,19550517,1485.3,0,100/08-25-047-08W5/00,,,15,20041201,19611201,Abandoned Water Injection,394.2,379.4,WATER FLOOD,Waterflood,1467,1452,1449,CARDIUM SD,43388.824,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,23.2723,40526.508,20060617,6443.2,3.7,19550530,767,,,,535.53,1307.31,0.75,0,1399.64,,0,226411.64,0,,5,,52,0009460,6,0,0,470.1,16601.426,,1424086.4,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
SYLVAN LAKE,NEW FIELD WILDCAT,Vertical,,SYLVAN LAKE COMMINGLED POOL 006,,19550606,2847.4,0,100/03-18-038-03W5/00,,,3,,19780901,Abandoned Gas,383.4,583.7,PRIMARY,,2195.8,2192.7,2800.5,LEDUC FM,117283.055,GLAUCONITIC A,YES,BWL,AB2,Calgary/Edmonton,0,4902.9077,0,19801120,0,779.5,19550916,962.3,2581.08,,0.9,35.08,,13.79,445.01,6.05,,0,0,,8,10,15948,69,0009484,7,0,,19262.3,680241.7,,0,30750,4314,32974,34175,41957,8409,50366,31766,28660,4882,36648,91484,2224
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550615,1519.7,0,100/12-20-048-07W5/00,,,3,,20060401,Abandoned Crude Oil,442.5,413.4,WATER FLOOD,Waterflood,1478,1475.5,1474.9,CARDIUM SD,190429.52,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,85162.15,159664.95,20171001,25384.7,13539.7,19550626,852.5,20.48,28.24,21.39,0.35,1.89,23.9,31.77,1.95,,0,0,,,5,,52,0009494,4,0,,5052.7,178434.42,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,INJECTION,19550805,1693.2,0,100/14-31-047-08W5/00,,,16,19950501,19611201,Suspended Water Injection,378.29,544.3,PRIMARY,Waterflood,1667.9,1652,1651.4,CARDIUM SD,76844.805,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,35.22294,68797.32,,10937.9,5.6,19550823,918,,,,1505.66,2219.27,1.14,0,2478.87,,0,197286.06,0,,5,,52,0009798,5,0,0,1321.7,46675.395,,1240892,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550818,1566.7,0,100/12-07-048-07W5/00,,,3,,20170901,Abandoned Crude Oil,424.8,454.5,WATER FLOOD,Miscible - Hydrocarbon,1530.1,1527,1520,CARDIUM SD,863371.3,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,4388255.5,753679.75,20180826,119825.5,697676.9,19550828,875.7,41.66,92.84,3.26,6.21,1.24,589.54,100.02,2.31,,0,0,,,5,,52,0009952,6,0,,18015.5,636211.4,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,INJECTION,19550912,1481.3,0,100/06-18-048-06W5/00,,,7,19870301,19621101,Abandoned Water Injection,461,410.7,WATER FLOOD,Waterflood,1466.7,1460,1460.3,CARDIUM SD,122608.27,CARDIUM,YES,BWL,AB5,Calgary/Edmonton,0,28.93313,95707.016,19991214,15216.2,4.6,19550930,867.5,,,,36.32,7.57,0.93,0,13.83,,0,80727.69,0,,5,,52,0009999,4,0,0,4418.2,156027.27,,507761.88,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550921,1460,0,100/04-23-048-07W5/00,,,10,,20070501,Abandoned Crude Oil,445.7,369,WATER FLOOD,Waterflood,1422.3,1412.4,1413.1,CARDIUM SD,405940.25,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,2178927,349953.12,20220719,55638.1,346421.7,19551001,811.1,12.01,18.02,17.36,1.23,0.41,213.9,20.09,0.62,,0,0,,,5,,52,0010157,6,0,,9195.2,324725.44,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Deviated,CARDIUM SD,PEMBINA CARDIUM,INJECTION,19551009,1470.7,1468.99,100/08-31-047-07W5/00,,,8,19951001,19611201,Abandoned Water Injection,406.59,361.5,PRIMARY,Waterflood,1432,1424,1428.3,CARDIUM SD,76554.16,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,10.063697,72295.086,19951030,11494,1.6,19551021,764.4,,,,796.86,2332.1,0.32,0,2469.49,,0,209625.12,0,,5,,52,0010184,2,0,0,699.5,24702.61,,1318502.4,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
