Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
PEMBINA,OUTPOST,Vertical,,PEMBINA CARDIUM,INJECTION,19540225,1607.8,0,100/08-35-047-08W5/00,,,7,20190901,19611201,Suspended Water Injection,397.23,488.2,WATER FLOOD,Waterflood,1588,1580.7,1572.5,CARDIUM SD,88951.58,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,57.237278,82927.38,,13184.4,9.1,19540312,885.4,,,,1127.11,2675.08,1.85,0,2869.41,,0,330546.47,0,,5,,52,0007716,1,0,0,989.4,34940.332,,2079074.8,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COMMINGLED POOL 003,,19540518,678.5,0,1B0/04-34-045-06W4/00,,,3,,20090801,Abandoned Crude Oil,497.7,196,WATER FLOOD,Waterflood,662.3,659.6,656.8,SPARKY MBR,225339.84,SPARKY Z,,BWL,AB4,Medicine Hat,0,1880672.2,221563.61,20211015,35225.8,299003,19540524,689.8,3.32,38.78,96.34,1.31,5.95,208.92,39.35,6.18,,0,0,,,3,4046,24,0008015,2,0,,620.2,21902.156,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19540723,1580.7,0,100/04-15-049-08W5/00,,,16,,19881001,Abandoned Crude Oil,438.79,509.1,WATER FLOOD,Waterflood,1580.7,1564.8,1564.5,CARDIUM SD,1034914.56,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,949357,976513.25,19890624,155253.2,150935.7,19540805,946,28.14,96.55,1.89,12.55,53.59,141.39,101.4,55.75,,0,0,,,5,,52,0008176,,0,,9591.7,338727.7,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19540718,1460,0,100/02-17-049-07W5/00,,,14,,20110301,Abandoned Crude Oil,470.19,401.8,WATER FLOOD,Waterflood,1460,1446.3,1447.2,CARDIUM SD,1332770.2,CARDIUM,,BWL,AB5,Drayton Valley/Grande Prairie,0,3420736.2,1189646.6,20141208,189138.7,543853.6,19540802,868.4,219.59,80.05,0.26,3.45,6.13,102.07,117.91,6.72,,0,0,,,5,,52,0008206,2,0,,23506.3,830117.1,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PROVOST,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,,19540912,687.6,0,100/06-02-037-03W4/00,,,1,,20230701,Pumping Gas,375.1,306.7,PRIMARY,,676.7,675.4,672.1,VIKING SANDSTONE,531597.56,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,857.9302,279.89658,,44.5,136.4,19540920,677.9,446.92,0.72,0.06,15.55,0.11,0.35,77.77,2.79,,0,0,,,2,,,0008342,1,0,,87262.4,3081642.5,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
HUSSAR,NEW FIELD WILDCAT,Vertical,,HUSSAR COMMINGLED POOL 005,,19541231,1484.4,0,100/11-10-025-20W4/00,,,3,,19900101,Suspended Gas,593.75,318.3,PRIMARY,,1419.8,1416.7,1440.2,MISSISSIPPIAN SYSTEM,65353.688,BASAL MANNVILLE J,,BWL,AB3,Calgary/Edmonton,0,249.70549,0,,0,39.7,19550124,908.9,574.1,,175.56,24.99,,2.69,102.13,4.39,0.08,7.547773,0,,,5,10076,44,0008669,6,1.2,,10732.3,379007.6,3.15,0,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
HUSSAR,NEW FIELD WILDCAT,Vertical,,HUSSAR VIKING AA,,19541201,1481.3,0,100/07-28-026-20W4/02,,,8,,20230701,Pumping Gas,599.37,302.5,PRIMARY,,1219,1211.5,1454.2,MISSISSIPPIAN SYSTEM,73698.125,VIKING AA,YES,BWL,AB3,Calgary/Edmonton,0,1173.6787,0,,0,186.6,19541217,898.6,386.89,,0.15,13.74,,0.81,66.75,3.19,0.82,116.361496,0,,,,,,0008728,5,18.5,,12084.9,426774.22,0.05,0,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
HUSSAR,NEW FIELD WILDCAT,Vertical,,HUSSAR VIKING C,,19541201,1481.3,0,100/07-28-026-20W4/00,,,7,,20001001,Abandoned Zone Gas,599.37,302.5,PRIMARY,,1262.8,1256.2,1454.2,MISSISSIPPIAN SYSTEM,253989.78,VIKING C,YES,BWL,AB3,Calgary/Edmonton,0,112.587616,0,,0,17.9,19541217,898.6,601.1,,0.14,56.89,,0.02,103.64,9.81,,0,0,,,,,,0008728,5,0,,41714.7,1473140.8,,0,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,INJECTION,19550606,1671.8,0,100/02-11-048-09W5/00,,,14,20220801,19730601,Water Injection,368.7,520.1,WATER FLOOD,Waterflood,1639.5,1625.5,1625.5,CARDIUM SD,462449.2,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,11151.835,429336.8,,68259.1,1773,19550619,885.1,27.62,78.49,1.69,20.77,45.69,4.74,83.25,49.27,,0,66785.68,0,,5,,52,0008845,2,0,0,5438.3,192051.75,,420069.28,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Deviated,CARDIUM SD,PEMBINA CARDIUM,,19550129,1508.5,1486.71,100/04-30-047-07W5/00,,,9,,20170901,Abandoned Crude Oil,402.2,373.8,PRIMARY,Waterflood,1475.2,1466.6,1467.3,CARDIUM SD,701370.94,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,357399,651464,20180825,103574.5,56821.9,19550220,770.5,57.87,136.85,1.17,0.61,1.25,8.06,146.83,1.36,,0,0,,,5,,52,0009057,4,0,,8196.6,289460.2,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550915,1536.2,0,100/04-25-047-08W5/00,,,15,,20170501,Abandoned Crude Oil,385.5,422.8,WATER FLOOD,Waterflood,1516.7,1502.1,1503.3,CARDIUM SD,963413.1,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,1704663.2,902092.8,20171002,143421.3,271019.8,19551012,804.7,32.3,115.34,2.54,2.65,3.11,35.08,120.91,3.57,,0,0,,,5,,52,0009237,7,0,,10071.1,355657.53,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550519,1579.2,0,100/10-26-047-07W5/00,,,4,,19940801,Abandoned Crude Oil,417.79,484.4,WATER FLOOD,Waterflood,1542.5,1538.3,1537.4,CARDIUM SD,324782.4,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,168951.23,295846.9,20170104,47035.9,26861.1,19550529,898.6,12.41,64.09,9.12,1.73,1.05,7.31,66.23,1.35,,0,0,,,5,,52,0009324,4,0,,4752.3,167825.89,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19550811,1524.9,0,100/02-34-047-07W5/00,,,6,,20050501,Abandoned Crude Oil,417.49,457.9,WATER FLOOD,Waterflood,1519,1512.7,1512.4,CARDIUM SD,619887.9,CARDIUM,YES,BWL,AB5,Drayton Valley/Grande Prairie,0,790678.25,569301.44,20170104,90511.7,125707.8,19550819,871.7,21.36,50.95,35.92,2.69,7.62,35.58,54.63,8.08,,0,0,,,5,,52,0009351,4,0,,8308.2,293401.3,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
HUSSAR,NEW FIELD WILDCAT,Vertical,,,,19550515,1497.2,0,100/12-28-024-20W4/00,,,,,,Abandoned,452.5,457.6,PRIMARY,,,,1456.9,MISSISSIPPIAN SYSTEM,,,,BWL,AB3,Calgary/Edmonton,,,,19550606,,,19550604,907.1,,,,,,,,,,,,,,,,,0009380,,,,,,,,38241,1987,43394,40991,91954,3394,95348,44324,41407,2166,46490,194804,5153
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,INJECTION,19550517,1485.3,0,100/08-25-047-08W5/00,,,15,20041201,19611201,Abandoned Water Injection,394.2,379.4,WATER FLOOD,Waterflood,1467,1452,1449,CARDIUM SD,43388.824,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,23.2723,40526.508,20060617,6443.2,3.7,19550530,767,,,,535.53,1307.31,0.75,0,1399.64,,0,226411.64,0,,5,,52,0009460,6,0,0,470.1,16601.426,,1424086.4,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
SYLVAN LAKE,NEW FIELD WILDCAT,Vertical,,SYLVAN LAKE COMMINGLED POOL 006,,19550606,2847.4,0,100/03-18-038-03W5/00,,,3,,19780901,Abandoned Gas,383.4,583.7,PRIMARY,,2195.8,2192.7,2800.5,LEDUC FM,117283.055,GLAUCONITIC A,YES,BWL,AB2,Calgary/Edmonton,0,4902.9077,0,19801120,0,779.5,19550916,962.3,2581.08,,0.9,35.08,,13.79,445.01,6.05,,0,0,,8,10,15948,69,0009484,7,0,,19262.3,680241.7,,0,30750,4314,32974,34175,41957,8409,50366,31766,28660,4882,36648,91484,2224
