Licence,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Substance Released 1,Volume Released 1,Volume Recovered 1
0080641,DEVELOPMENT,Vertical,,ATLEE-BUFFALO VIKING F,ATLEE-BUFFALO,,19800201,971,0,100/04-19-021-05W4/00,,,1,,19850901,Abandoned Zone Gas,461.6,271.5,PRIMARY,,747,746,950,BANFF FM,41616.91,VIKING F,,BWL,AB3,Medicine Hat,0,23.2723,0,20180515,0,3.7,19800215,729.1,483.1,,0.27,57.4,,0.25,83.43,10.31,0.41,12.579621,0,,,,,,6,2,,6833,241305.12,0.14,0,Drilling Mud  (Water Based),20,3
0080641,DEVELOPMENT,Vertical,,ATLEE-BUFFALO UPPER MANNVILLE PP,ATLEE-BUFFALO,,19800201,971,0,100/04-19-021-05W4/04,,,3,,20070701,Abandoned Gas,461.6,271.5,PRIMARY,,834.8,831.8,950,BANFF FM,56029.76,UPPER MANNVILLE PP,,BWL,AB3,Medicine Hat,0,6908.099,0,20180515,0,1098.3,19800215,729.1,1523.29,,9.4,24.64,,4.17,262.64,4.25,,0,0,,,,,,6,0,,9202.2,324972.62,,0,Drilling Mud  (Water Based),20,3
0080641,DEVELOPMENT,Vertical,,,ATLEE-BUFFALO,,19800201,971,0,100/04-19-021-05W4/02,,,,,,Abandoned Zone,461.6,271.5,PRIMARY,,,,950,BANFF FM,,,,BWL,AB3,Medicine Hat,,,,20180515,,,19800215,729.1,,,,,,,,,,,,,,,,,6,,,,,,,Drilling Mud  (Water Based),20,3
0257684,DEEPER-POOLTEST,Vertical,MISSISSIPPIAN SYSTEM,,HUSSAR,,20010726,1545,0,100/09-20-026-21W4/04,20010730,PRECISION DRILLING CORPORATION,,,,Abandoned Zone,533.29,400.4,PRIMARY,,,,1529.2,PEKISKO FM,,,,140,AB3,Calgary/Edmonton,,,,20190524,,,20010728,929.9,,,,,,,,,,,,,,,,,9,,,,,,,Crude Oil,5,4
0257684,DEEPER-POOLTEST,Vertical,MISSISSIPPIAN SYSTEM,HUSSAR COMMINGLED MFP9501,HUSSAR,,20010726,1545,0,100/09-20-026-21W4/00,20010730,PRECISION DRILLING CORPORATION,2,,20041101,Abandoned Zone Gas,533.29,400.4,PRIMARY,,1511,1509,1529.2,PEKISKO FM,92623.97,EDMONTON K,,140,AB3,Calgary/Edmonton,0,454.75333,0,20190524,0,72.3,20010728,929.9,2693.85,,0.47,6.71,,3.28,466.31,1.9,0.74,237.75485,0,,256,4,9138,37,9,37.8,,15173.3,535840.06,1.85,0,Crude Oil,5,4
0257684,DEEPER-POOLTEST,Vertical,MISSISSIPPIAN SYSTEM,,HUSSAR,,20010726,1545,0,100/09-20-026-21W4/03,20010730,PRECISION DRILLING CORPORATION,,,,Abandoned Zone,533.29,400.4,PRIMARY,,,,1529.2,PEKISKO FM,,,,140,AB3,Calgary/Edmonton,,,,20190524,,,20010728,929.9,,,,,,,,,,,,,,,,,9,,,,,,,Crude Oil,5,4
0257684,DEEPER-POOLTEST,Vertical,MISSISSIPPIAN SYSTEM,HUSSAR GLAUCONITIC A7A,HUSSAR,,20010726,1545,0,100/09-20-026-21W4/02,20010730,PRECISION DRILLING CORPORATION,1,,20081201,Abandoned Zone Crude Oil,533.29,400.4,PRIMARY,,1470,1469,1529.2,PEKISKO FM,4472.7256,GLAUCONITIC A7A,,140,AB3,Calgary/Edmonton,0,16300.674,4131.148,20190524,656.8,2591.6,20010728,929.9,20.22,51.41,28.73,0.58,1.65,12.15,54.9,1.75,,0,0,,32,2,9818,48,9,0,,56.1,1981.1528,,0,Crude Oil,5,4
0257684,DEEPER-POOLTEST,Vertical,MISSISSIPPIAN SYSTEM,,HUSSAR,,20010726,1545,0,100/09-20-026-21W4/05,20010730,PRECISION DRILLING CORPORATION,,,,Abandoned,533.29,400.4,PRIMARY,,,,1529.2,PEKISKO FM,,,,140,AB3,Calgary/Edmonton,,,,20190524,,,20010728,929.9,,,,,,,,,,,,,,,,,9,,,,,,,Crude Oil,5,4
0085532,DEVELOPMENT,Vertical,,ROCKYFORD LOWER MANNVILLE A,ROCKYFORD,,19810805,1540,0,100/06-25-026-23W4/00,,,5,,19820701,Abandoned Zone Crude Oil,460.67,382.5,PRIMARY,,1493.5,1489,1508.5,PEKISKO FM,1470.1414,LOWER MANNVILLE A,YES,BWL,AB3,Calgary/Edmonton,0,84.912445,352.8584,20160506,56.1,13.5,19810816,838.9,53.07,2.68,1.02,46.91,2.29,1.44,11.83,10.38,,0,0,,32,6,10463,50,5,0,,183.5,6480.241,,0,Fresh Water,1,
0085532,DEVELOPMENT,Vertical,,ROCKYFORD COMMINGLED POOL 001,ROCKYFORD,,19810805,1540,0,100/06-25-026-23W4/03,,,3,,20091101,Abandoned Gas,460.67,382.5,PRIMARY,,1468,1465,1508.5,PEKISKO FM,9.741977,UPPER MANNVILLE A,YES,BWL,AB3,Calgary/Edmonton,0,0,0,20160506,0,0,19810816,838.9,113.01,,,1.88,,,19.48,0.32,,0,0,,,,,,5,0,,1.6,56.503468,,0,Fresh Water,1,
0085532,DEVELOPMENT,Vertical,,ROCKYFORD PEKISKO A,ROCKYFORD,,19810805,1540,0,100/06-25-026-23W4/02,,,12,,20040101,Abandoned Zone Gas,460.67,382.5,PRIMARY,,1523,1511,1508.5,PEKISKO FM,112836.445,PEKISKO A,YES,BWL,AB3,Calgary/Edmonton,0,2505.8606,0,20160506,0,398.4,19810816,838.9,215.84,,3.09,76.62,,0.51,39.9,13.37,0.16,685.58936,0,,,,,,5,109,,18419.4,650475,2.69,0,Fresh Water,1,
0072645,DEVELOPMENT,Vertical,,TWINING COMMINGLED POOL 001,TWINING,,19781027,1705,0,100/16-25-032-25W4/00,,,17,,19821001,Abandoned Zone Crude Oil,268.79,608.7,PRIMARY,,1673.5,1656.5,1685,BANFF FM,6811.559,UPPER MANNVILLE O,YES,BWL,AB3,Calgary/Edmonton,0,654.7693,4783.401,20130312,760.5,104.1,19781107,873.5,60.95,71.17,53.77,7.02,6.31,0.42,81.68,7.52,,0,0,,,13,,,7,0,,333.1,11763.315,,0,Crude Oil,5,3
0072645,DEVELOPMENT,Vertical,,TWINING COMMINGLED MFP9501,TWINING,,19781027,1705,0,100/16-25-032-25W4/03,,,6,,20010301,Abandoned Gas,268.79,608.7,PRIMARY,,765.5,760,1685,BANFF FM,1514.8774,LOWER EDMONTON C,YES,BWL,AB3,Calgary/Edmonton,0,0,0,20130312,0,0,19781107,873.5,103.85,,,46.11,,,17.91,7.95,,0,0,,,,,,7,0,,248.8,8786.289,,0,Crude Oil,5,3
0072645,DEVELOPMENT,Vertical,,,TWINING,,19781027,1705,0,100/16-25-032-25W4/02,,,,,19821101,Abandoned Zone Gas,268.79,608.7,PRIMARY,,,,1685,BANFF FM,14.004092,,YES,BWL,AB3,Calgary/Edmonton,0,128.31213,0,20130312,0,20.4,19781107,873.5,9.02,,14.26,2.71,,4.28,1.56,0.47,,0,0,,,,,,7,0,,2.3,81.22373,,0,Crude Oil,5,3
0158733,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE VV,PROVOST,,19930601,1075,1052.82,100/08-35-034-08W4/00,19930605,TRI-CITY DRILLING INC.,2,,19981201,Abandoned Zone Crude Oil,375.9,399.6,PRIMARY,,1044,1042,1031.5,DINA MBR,90257.05,ELLERSLIE VV,,BWL,AB3,Medicine Hat,0,1077371.6,85023.77,,13517.7,171288.4,19930604,771.9,138.34,63.01,39.01,8.6,4.83,702.49,86.86,6.31,,0,0,,124,4,6890,28,1,0,,859.5,30352.955,,0,Salt/Produced Water,23,18
0158402,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE VV,PROVOST,,19930520,1078,1077.97,102/09-35-034-08W4/00,19930527,TRI-CITY DRILLING INC.,6,,20131001,Abandoned Crude Oil,375.9,399.6,PRIMARY,,1024.5,1018.5,1062.5,WINTERBURN GRP,108304.74,ELLERSLIE VV,,BWL,AB3,Medicine Hat,0,5625408,102110.67,20171130,16234.3,894368.4,19930525,772,155.4,126.99,1.85,2.96,1.54,1110.2,153.78,2.05,,0,0,,124,4,6890,28,2,0,,1017.3,35925.61,,0,Crude Oil,1,1
0156307,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE VV,PROVOST,DISPOSAL,19930206,1060,0,103/03-36-034-08W4/00,19930210,TRI-CITY DRILLING INC.,8,20150801,19930901,Suspended Water Disposal,352.9,426.7,PRIMARY,II,1035,1027,1013,DINA MBR,9803.993,ELLERSLIE VV,YES,BWL,AB3,Medicine Hat,0,4577.724,9653.602,,1534.8,727.8,19930209,775.9,12.39,124.46,21.6,9.48,43.93,44.53,126.6,45.56,,0,2467955.2,0,124,4,6890,28,3,0,0,24.7,872.2723,,15522972,Salt/Produced Water,200,200
0113160,OUTPOST,Vertical,BANFF FM,,WIMBORNE,,19850217,1915,0,100/14-16-035-26W4/00,19850312,PRECISION DRILLING CORPORATION,,,,Abandoned,615.5,349.7,PRIMARY,,,,1866,BANFF FM,,,,BWL,AB5,Calgary/Edmonton,,,,19850312,,,19850308,960.4,,,,,,,,,,,,,,,,,,,,,,,,Crude Oil,2.5,2.5
0032566,DEVELOPMENT,Vertical,,PROVOST COMMINGLED MFP9515,PROVOST,,19670808,720.2,0,100/04-23-036-03W4/00,,,5,,20230501,Pumping Gas,371,329.4,PRIMARY,,703.2,698.6,698.6,PROVOST MBR,552672.5,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,1283.7504,3630.4788,,577.2,204.1,19670810,696.8,726.21,1.93,0.04,26.68,1,1.21,127.14,5.59,,0,0,,,2,,,2,0,,90173.4,3184443.5,,0,Crude Oil,1,0.7
0071874,NEW POOL WILDCAT,Vertical,,,PROVOST,,19780927,1109.6,0,100/11-26-036-13W4/00,,,,,,Abandoned,411.84,416.3,PRIMARY,,,,1008,MANNVILLE GRP,,,,BWL,AB5,Medicine Hat,,,,19930614,,,19781005,823.8,,,,,,,,,,,,,,,,,4,,,,,,,Salt/Produced Water,1,
0071874,NEW POOL WILDCAT,Vertical,,PROVOST COMMINGLED MFP9515,PROVOST,,19780927,1109.6,0,100/11-26-036-13W4/02,,,5,,19890701,Abandoned Zone Gas,411.84,416.3,PRIMARY,,969,964.5,1008,MANNVILLE GRP,13274.661,BELLY RIVER DD,,BWL,AB5,Medicine Hat,0,295.6211,0,19930614,0,47,19781005,823.8,83.33,,3.32,7.49,,3.21,14.37,1.29,,0,0,,,2,,,4,0,,2180.2,76993.04,,0,Salt/Produced Water,1,
0092486,DEVELOPMENT,Vertical,,PROVOST COMMINGLED POOL 003,PROVOST,,19811106,1165,0,100/04-15-036-16W4/00,,,6,,20201001,Abandoned Zone Gas,488.71,367.6,PRIMARY,,1135,1129,1142.7,BANFF FM,575031.3,VIKING N2N,YES,BWL,AB5,Calgary/Edmonton,0,1531.569,0,20201110,0,243.5,19811110,852.3,929.22,,0.19,129.36,,1.62,160.27,22.36,0.06,5.6608295,0,,16,3,5968,41,2,0.9,,94440.9,3335149,0.06,0,Gas Production (Raw),210,
0092486,DEVELOPMENT,Vertical,,PROVOST COMMINGLED POOL 003,PROVOST,,19811106,1165,0,100/04-15-036-16W4/02,,,2,,20101101,Abandoned Gas,488.71,367.6,PRIMARY,,1024.2,1022.5,1142.7,BANFF FM,74994.914,VIKING N2N,YES,BWL,AB5,Calgary/Edmonton,0,19963.23,0,20201110,0,3173.9,19811110,852.3,151.54,,0.23,65.58,,2.96,26.33,11.51,0.2,17.61147,0,,16,3,5968,41,2,2.8,,12314.1,434868.34,0.2,0,Gas Production (Raw),210,
0146757,DEVELOPMENT,Vertical,MANNVILLE GRP,,PROVOST,,19901211,882,0,1B0/09-23-037-05W4/02,19901214,TRI-CITY DRILLING INC.,2,,,Abandoned Crude Oil,364.8,320.1,PRIMARY,,792,790,875,WINTERBURN GRP,,,YES,BWL,AB4,Medicine Hat,,,,20181102,,,19901213,681.1,,,,,,,,,,,,,,,,,3,,,,,,,Crude Oil,9,8
0146757,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST DINA F3F,PROVOST,,19901211,882,0,1B0/09-23-037-05W4/00,19901214,TRI-CITY DRILLING INC.,2,,20110701,Abandoned Zone Crude Oil,364.8,320.1,PRIMARY,,848,846,875,WINTERBURN GRP,81961.18,DINA F3F,YES,BWL,AB4,Medicine Hat,0,147483.48,79330.24,20181102,12612.5,23448,19901213,681.1,20.19,95.03,8.32,0.61,1.76,19.41,98.51,1.87,,0,0,,109,5,5497,28,3,0,,432.1,15259.468,,0,Crude Oil,9,8
0129021,DEEPER-POOLTEST,Vertical,DEVONIAN SYSTEM,PROVOST UPPER MANNVILLE Q5Q,PROVOST,,19871015,841,0,100/10-08-038-02W4/00,19871022,CAMARO DRILLING,3,,20070301,Abandoned Zone Gas,412.8,275.4,PRIMARY,,713,710,830,WOODBEND GRP,287947.34,UPPER MANNVILLE Q5Q,YES,BWL,AB4,Medicine Hat,0,5886.634,1335.9558,20190114,212.4,935.9,19871018,684.5,1783.29,17.77,1.39,561.62,4.78,50.99,325.23,101.61,,0,0,,,,,,4,0,,47072.4,1662346.1,,0,Crude Oil,3,3
0129021,DEEPER-POOLTEST,Vertical,DEVONIAN SYSTEM,PROVOST COMMINGLED MFP9515,PROVOST,,19871015,841,0,100/10-08-038-02W4/02,19871022,CAMARO DRILLING,7,,20160201,Abandoned Gas,412.8,275.4,PRIMARY,,661,654,830,WOODBEND GRP,2335.639,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,0,0,20190114,0,0,19871018,684.5,23.79,,,0.16,,,4.1,0.03,,0,0,,,2,,,4,0,,383.6,13546.706,,0,Crude Oil,3,3
0142997,DEVELOPMENT,Vertical,WOODBEND GRP,,PROVOST,,19900202,865,0,100/05-17-038-02W4/00,19900205,TRI-CITY DRILLING INC.,,,,Abandoned & Re-Entered,441,266,PRIMARY,,,,850,WOODBEND GRP,,,YES,140,AB4,Medicine Hat,,,,20150520,,,19900204,703.7,,,,,,,,,,,,,,,,,3,,,,,,,Crude Oil,5,3
0142997,RE-ENTRY,Vertical,WOODBEND GRP,,PROVOST,,20090128,864,0,100/05-17-038-02W4/02,20090128,,,,,Abandoned,441,265.8,PRIMARY,,,,,,,,,140,AB4,Medicine Hat,,,,20150520,,,20090128,703.7,,,,,,,,,,,,,,,,,,,,,,,,Crude Oil,5,3
0318632,DEEPER-POOLTEST,Vertical,PALEOZOIC ERA,PROVOST SPARKY WWW,PROVOST,,20041117,835,0,102/16-34-038-02W4/00,20041121,CHAMPION DRILLING INC.,4,,20151001,Abandoned Zone Gas,364.28,318.3,PRIMARY,,735,731,827,LEDUC FM,19180.932,SPARKY WWW,YES,280,AB4,Medicine Hat,0,4989.078,4291.538,20190808,682.3,793.2,20041119,678.7,484.05,5.65,7.81,22.53,3.75,1.68,89.11,7.63,,0,0,,,,,,5,0,,2445.4,86358.484,,0,Salt/Produced Water,3.5,3.5
0318632,DEEPER-POOLTEST,Vertical,PALEOZOIC ERA,PROVOST MCLAREN H,PROVOST,,20041117,835,0,102/16-34-038-02W4/02,20041121,CHAMPION DRILLING INC.,5,,20120101,Abandoned Gas,364.28,318.3,PRIMARY,,703,698,827,LEDUC FM,18819.674,MCLAREN H,YES,280,AB4,Medicine Hat,0,1082.4764,0,20190808,0,172.1,20041119,678.7,511.24,,14.99,20.8,,3.21,88.14,3.59,,0,0,,,,,,5,0,,3090.9,109154.1,,0,Salt/Produced Water,3.5,3.5
0214102,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST COMMINGLED POOL 026,PROVOST,,19980530,895,886.31,100/15-21-038-03W4/00,19980603,CAYMAN VENTURES LTD.,37,,20060501,Abandoned Crude Oil,374.4,335.5,WATER FLOOD,,843.8,807,881.2,WOODBEND GRP,46310.785,LLOYDMINSTER V2V,,BWL,AB4,Medicine Hat,0,1356073.1,43858.85,20171129,6973,215598.4,19980602,705.8,27.69,73.21,27.21,1.75,2.25,241.46,77.98,2.55,,0,0,,,2,,,2,0,,402.7,14221.216,,0,Crude Oil,2,1.5
0214102,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST COMMINGLED POOL 026,PROVOST,,19980530,895,886.31,100/15-21-038-03W4/00,19980603,CAYMAN VENTURES LTD.,37,,20060501,Abandoned Crude Oil,374.4,335.5,WATER FLOOD,,843.8,807,881.2,WOODBEND GRP,46310.785,LLOYDMINSTER V2V,,BWL,AB4,Medicine Hat,0,1356073.1,43858.85,20171129,6973,215598.4,19980602,705.8,27.69,73.21,27.21,1.75,2.25,241.46,77.98,2.55,,0,0,,,2,,,2,0,,402.7,14221.216,,0,Crude Oil,0.3,
0110953,NEWPOOLWILDCATIEW,Vertical,IRETON FM,PROVOST VIKING M5M,PROVOST,,19841125,1423,0,100/08-20-038-15W4/02,19841207,AKITA DRILLING LTD,10,,20150201,Abandoned Gas,406.61,425.8,PRIMARY,,1024.6,1014.8,1371,LEDUC FM,15685.821,VIKING M5M,YES,BWL,AB5,Medicine Hat,0,1183.1134,0.62898105,20190223,0.1,188.1,19841204,828.3,313.14,0.01,2.17,5.57,0.02,0.12,54,0.98,,0,0,,,,,,9,0,,2576.1,90974.11,,0,Drilling Mud  (Water Based),1,
0110953,NEWPOOLWILDCATIEW,Vertical,IRETON FM,,PROVOST,,19841125,1423,0,100/08-20-038-15W4/00,19841207,AKITA DRILLING LTD,,,,Abandoned Zone,406.61,425.8,PRIMARY,,,,1371,LEDUC FM,,,YES,BWL,AB5,Medicine Hat,,,,20190223,,,19841204,828.3,,,,,,,,,,,,,,,,,9,,,,,,,Drilling Mud  (Water Based),1,
0081923,DEVELOPMENT,Vertical,,HALKIRK LOWER MANNVILLE F,HALKIRK,,19800425,1266,0,100/01-19-038-16W4/00,,,18,,20011101,Abandoned Crude Oil,484.31,337.2,PRIMARY,,1226.5,1208.5,1251.6,WABAMUN GRP,59576.477,LOWER MANNVILLE F,YES,BWL,AB5,Calgary/Edmonton,0,96324.05,42359.36,20190316,6734.6,15314.3,19800509,817.2,26.42,67.62,8.62,1.9,0.43,6.98,72.18,0.76,,0,0,,89,2,9001,37,5,0,,2827.7,99859.28,,0,Crude Oil,1,
0009484,NEW FIELD WILDCAT,Vertical,,SYLVAN LAKE COMMINGLED POOL 006,SYLVAN LAKE,,19550606,2847.4,0,100/03-18-038-03W5/00,,,3,,19780901,Abandoned Gas,383.4,583.7,PRIMARY,,2195.8,2192.7,2800.5,LEDUC FM,117283.055,GLAUCONITIC A,YES,BWL,AB2,Calgary/Edmonton,0,4902.9077,0,19801120,0,779.5,19550916,962.3,2581.08,,0.9,35.08,,13.79,445.01,6.05,,0,0,,8,10,15948,69,7,0,,19262.3,680241.7,,0,Diesel Oil,1,
0155168,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST COMMINGLED POOL 129,PROVOST,,19930109,845,810.69,100/03-08-040-03W4/00,19930114,SEDCO DRILLING,3,,20230501,Pumping Crude Oil,409,257.8,PRIMARY,,802,799,841,WOODBEND GRP,234865.81,CUMMINGS I,,BWL,AB4,Medicine Hat,0,17057814,229929.06,,36555.8,2711975.8,19930113,662.9,19.26,837.84,9.58,2,3.58,2018.84,841.16,3.92,,0,0,,,4,5430,30,1,0,,810.8,28633.13,,0,Salt/Produced Water,6,4
