UWI,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cement Amount,Cement Type,Cement Unit
100/01-05-032-03W5/00,DEVELOPMENT,Horizontal,CARDIUM FM,HARMATTAN EAST CARDIUM C,HARMATTAN EAST,,20141010,3725,2071.85,20141018,NABORS DRILLING LIMITED,1290,,20221001,Pumping Crude Oil,267.09,847.5,PRIMARY,,3725,2435.4,,,79508.984,CARDIUM C,YES,150,AB2,Calgary/Edmonton,0,0,45153.293,,7178.8,0,20141016,1109.5,,,,,,,,,,0,0,,14741,3,15654,61,0468877,,0,,5642.5,199263,,0,0,UNCEM CSG/LINER,
100/11-01-038-04W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,,PROVOST,,19970520,895,876.79,19970525,AKITA DRILLING LTD,,,,Abandoned,372.59,333.2,PRIMARY,,,,,,,,,BWL,AB4,Medicine Hat,,,,19970531,,,19970524,701.5,,,,,,,,,,,,,,,,,0201408,,,,,,,,12,CLASS A NEAT,Tonnes
102/10-29-048-16W4/00,DEEPER-POOLTEST,Vertical,IRETON FM,,BRUCE,,19970821,1070,0,19970826,TRI-CITY DRILLING INC.,,,,Abandoned,364.4,342,PRIMARY,,,,,,,,,BWL,AB5,Calgary/Edmonton,,,,19970915,,,19970824,701.2,,,,,,,,,,,,,,,,,0204832,,,,,,,,9,CLASS G NEAT,Tonnes
102/10-09-031-18W4/00,DEVELOPMENT,Vertical,2490,,MICHICHI,,20070623,1367,0,20070628,PRECISION DRILLING CORPORATION,,,,Abandoned,467,418.7,PRIMARY,,,,,,,,,140,AB3,Calgary/Edmonton,,,,20070628,,,20070626,881.3,,,,,,,,,,,,,,,,,0376456,,,,,,,,11.7,LIGHT WEIGHT,Tonnes
100/12-09-054-08W5/00,NEW POOL WILDCAT,Vertical,BANFF FM,,UNDEFINED,,20021207,1775,0,20021223,ENSIGN DRILLING INC.,,,,Abandoned,-177.59,968,PRIMARY,,,,,,,,,360,AB5,Drayton Valley/Grande Prairie,,,,20070916,,,20021214,786.3,,,,,,,,,,,,,,,,,0277023,,,,,,,,9,CLASS G NEAT,Cubic metres
100/01-35-034-08W4/00,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE ZZ,PROVOST,,19930607,1071,0,19930613,SEDCO DRILLING,2,,19940401,Abandoned Crude Oil,361.8,414.7,PRIMARY,,1051,1049,,,2872.4038,ELLERSLIE ZZ,,BWL,AB3,Medicine Hat,0,10093.889,2772.5486,20180815,440.8,1604.8,19930610,773,6.26,27.49,51.48,2.29,4.97,25.53,28.57,5.36,,0,0,,4,2,6175,33,0158776,1,0,,16.4,579.1605,,0,11.5,CLASS G NEAT,Tonnes
100/01-35-034-08W4/00,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE ZZ,PROVOST,,19930607,1071,0,19930613,SEDCO DRILLING,2,,19940401,Abandoned Crude Oil,361.8,414.7,PRIMARY,,1051,1049,,,2872.4038,ELLERSLIE ZZ,,BWL,AB3,Medicine Hat,0,10093.889,2772.5486,20180815,440.8,1604.8,19930610,773,6.26,27.49,51.48,2.29,4.97,25.53,28.57,5.36,,0,0,,4,2,6175,33,0158776,1,0,,16.4,579.1605,,0,23,1:1:2 POZ,Cubic metres
100/01-35-034-08W4/00,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE ZZ,PROVOST,,19930607,1071,0,19930613,SEDCO DRILLING,2,,19940401,Abandoned Crude Oil,361.8,414.7,PRIMARY,,1051,1049,,,2872.4038,ELLERSLIE ZZ,,BWL,AB3,Medicine Hat,0,10093.889,2772.5486,20180815,440.8,1604.8,19930610,773,6.26,27.49,51.48,2.29,4.97,25.53,28.57,5.36,,0,0,,4,2,6175,33,0158776,1,0,,16.4,579.1605,,0,5.7,GPSL/GPCEM/THX,Cubic metres
103/03-22-038-03W4/02,DEVELOPMENT,Vertical,BASAL QUARTZ SD,PROVOST GENERAL PETROLEUM E,PROVOST,,19971029,869,0,19971102,PRECISION DRILLING CORPORATION,4,,20090401,Abandoned Crude Oil,381,313.8,PRIMARY,,790,786,,,2319.7092,GENERAL PETROLEUM E,YES,BWL,AB4,Medicine Hat,0,55205.668,873.02576,20171128,138.8,8777,19971101,691.1,8.83,2.8,68.95,60.87,2.26,184.15,4.32,12.75,,0,0,,32,4,3353,25,0207383,3,0,,237.6,8390.765,,0,12,CLASS G NEAT,Tonnes
103/03-22-038-03W4/02,DEVELOPMENT,Vertical,BASAL QUARTZ SD,PROVOST GENERAL PETROLEUM E,PROVOST,,19971029,869,0,19971102,PRECISION DRILLING CORPORATION,4,,20090401,Abandoned Crude Oil,381,313.8,PRIMARY,,790,786,,,2319.7092,GENERAL PETROLEUM E,YES,BWL,AB4,Medicine Hat,0,55205.668,873.02576,20171128,138.8,8777,19971101,691.1,8.83,2.8,68.95,60.87,2.26,184.15,4.32,12.75,,0,0,,32,4,3353,25,0207383,3,0,,237.6,8390.765,,0,18,GPSL/GPCEM/THX,Tonnes
103/03-22-038-03W4/02,DEVELOPMENT,Vertical,BASAL QUARTZ SD,PROVOST GENERAL PETROLEUM E,PROVOST,,19971029,869,0,19971102,PRECISION DRILLING CORPORATION,4,,20090401,Abandoned Crude Oil,381,313.8,PRIMARY,,790,786,,,2319.7092,GENERAL PETROLEUM E,YES,BWL,AB4,Medicine Hat,0,55205.668,873.02576,20171128,138.8,8777,19971101,691.1,8.83,2.8,68.95,60.87,2.26,184.15,4.32,12.75,,0,0,,32,4,3353,25,0207383,3,0,,237.6,8390.765,,0,5,GPSL/GPCEM/THX,Tonnes
100/14-25-021-16W4/02,DEEPER-POOLTEST,Vertical,BASAL QUARTZ SD,COUNTESS COMMINGLED MFP9501,COUNTESS,,19930114,1120,0,19930120,ARTISAN CORPORATION,634,,20230501,Flowing Gas,526.3,208.6,PRIMARY,,1045,411,,,17343.764,BELLY RIVER D4D,YES,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19930119,730.8,48.56,,,8.87,,,8.37,1.53,,0,0,,,2,,,0155211,11,0,,2848.5,100593.83,,0,13,CLASS G NEAT,Tonnes
100/14-25-021-16W4/02,DEEPER-POOLTEST,Vertical,BASAL QUARTZ SD,COUNTESS COMMINGLED MFP9501,COUNTESS,,19930114,1120,0,19930120,ARTISAN CORPORATION,634,,20230501,Flowing Gas,526.3,208.6,PRIMARY,,1045,411,,,17343.764,BELLY RIVER D4D,YES,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19930119,730.8,48.56,,,8.87,,,8.37,1.53,,0,0,,,2,,,0155211,11,0,,2848.5,100593.83,,0,12.8,G + 4 PC GEL,Tonnes
100/14-25-021-16W4/02,DEEPER-POOLTEST,Vertical,BASAL QUARTZ SD,COUNTESS COMMINGLED MFP9501,COUNTESS,,19930114,1120,0,19930120,ARTISAN CORPORATION,634,,20230501,Flowing Gas,526.3,208.6,PRIMARY,,1045,411,,,17343.764,BELLY RIVER D4D,YES,BWL,AB3,Calgary/Edmonton,0,0,0,,0,0,19930119,730.8,48.56,,,8.87,,,8.37,1.53,,0,0,,,2,,,0155211,11,0,,2848.5,100593.83,,0,9,CLASS G NEAT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,37,CLASS G NEAT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,35.8,LIGHT WEIGHT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,10,CLASS G NEAT,Tonnes
100/15-09-098-09W6/02,DEVELOPMENT,Horizontal,WATT MTN FM,CHINCHAGA SLAVE POINT R,CHINCHAGA,,20010206,2608,2391.89,20010307,BEAVER DRILLING LTD.,360,,20060301,Abandoned Crude Oil,549.95,271.5,PRIMARY,,2608,2248.4,,,38635.6,SLAVE POINT R,,140,AB7,High Level,0,256.62427,9374.963,20090122,1490.5,40.8,20010305,815.3,3619.17,226.49,4.19,41.84,2.02,0.23,850.48,9.23,,0,0,,8,8,14764,108,0247127,6,0,,4805.7,169711.69,,0,0,UNCEM CSG/LINER,
100/12-02-040-04W4/00,DEVELOPMENT,Horizontal,DINA MBR,PROVOST COMMINGLED POOL 025,PROVOST,,20111102,1123,804.76,20111107,TECHNICOIL CORPORATION,264,,20141101,Abandoned Crude Oil,389.3,281.5,PRIMARY,,1123,858.9,,,9059.452,CUMMINGS H2H,,360,AB4,Medicine Hat,0,580338.8,8876.181,20191031,1411.2,92266.5,20111106,666.6,1.04,33.91,171.04,0.23,0.15,12.12,34.09,0.19,,0,0,,30,5,5654,28,0438234,,0,,30.1,1062.9714,,0,14.9,CLASS G NEAT,Tonnes
100/12-02-040-04W4/00,DEVELOPMENT,Horizontal,DINA MBR,PROVOST COMMINGLED POOL 025,PROVOST,,20111102,1123,804.76,20111107,TECHNICOIL CORPORATION,264,,20141101,Abandoned Crude Oil,389.3,281.5,PRIMARY,,1123,858.9,,,9059.452,CUMMINGS H2H,,360,AB4,Medicine Hat,0,580338.8,8876.181,20191031,1411.2,92266.5,20111106,666.6,1.04,33.91,171.04,0.23,0.15,12.12,34.09,0.19,,0,0,,30,5,5654,28,0438234,,0,,30.1,1062.9714,,0,23,GPSL/GPCEM/THX,Tonnes
100/12-02-040-04W4/00,DEVELOPMENT,Horizontal,DINA MBR,PROVOST COMMINGLED POOL 025,PROVOST,,20111102,1123,804.76,20111107,TECHNICOIL CORPORATION,264,,20141101,Abandoned Crude Oil,389.3,281.5,PRIMARY,,1123,858.9,,,9059.452,CUMMINGS H2H,,360,AB4,Medicine Hat,0,580338.8,8876.181,20191031,1411.2,92266.5,20111106,666.6,1.04,33.91,171.04,0.23,0.15,12.12,34.09,0.19,,0,0,,30,5,5654,28,0438234,,0,,30.1,1062.9714,,0,0,SLOTTED LINER,
102/06-19-048-06W5/02,DEEPER-POOLTEST,Vertical,BANFF FM,PEMBINA JURASSIC O2O,PEMBINA,,20001011,2018,0,20001021,PRECISION DRILLING CORPORATION,3,,20040201,Abandoned Zone Gas,458.01,395.6,PRIMARY,,1950,1947.5,,,25074.809,JURASSIC O2O,YES,BWL,AB5,Calgary/Edmonton,0,113.84557,557.9062,20180824,88.7,18.1,20001012,849.2,445.28,4.61,0.46,127.87,0.36,1.04,81.38,22.41,,0,0,,,,,,0242247,3,0,,4026.6,142198.03,,0,32,CLASS G NEAT,Tonnes
102/06-19-048-06W5/02,DEEPER-POOLTEST,Vertical,BANFF FM,PEMBINA JURASSIC O2O,PEMBINA,,20001011,2018,0,20001021,PRECISION DRILLING CORPORATION,3,,20040201,Abandoned Zone Gas,458.01,395.6,PRIMARY,,1950,1947.5,,,25074.809,JURASSIC O2O,YES,BWL,AB5,Calgary/Edmonton,0,113.84557,557.9062,20180824,88.7,18.1,20001012,849.2,445.28,4.61,0.46,127.87,0.36,1.04,81.38,22.41,,0,0,,,,,,0242247,3,0,,4026.6,142198.03,,0,32,LIGHT WEIGHT,Tonnes
100/09-34-025-17W4/02,DEVELOPMENT,Vertical,PEKISKO FM,,WINTERING HILLS,,20060208,1293,0,20060222,CHAMPION DRILLING INC.,,,,Abandoned Zone,541.29,322.3,PRIMARY,,,,,,,,YES,140,AB3,Calgary/Edmonton,,,,20130703,,,20060221,859.6,,,,,,,,,,,,,,,,,0350469,4,,,,,,,5.6,CLASS A NEAT,Tonnes
100/09-34-025-17W4/02,DEVELOPMENT,Vertical,PEKISKO FM,,WINTERING HILLS,,20060208,1293,0,20060222,CHAMPION DRILLING INC.,,,,Abandoned Zone,541.29,322.3,PRIMARY,,,,,,,,YES,140,AB3,Calgary/Edmonton,,,,20130703,,,20060221,859.6,,,,,,,,,,,,,,,,,0350469,4,,,,,,,18,CLASS A NEAT,Tonnes
104/05-26-040-12W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,PROVOST,,19930428,1013,1004.14,19930501,CAYMAN VENTURES LTD.,3,,20000701,Abandoned Zone Crude Oil,399.18,338.6,PRIMARY,,986,983,,,81592.04,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1315702.6,79401.31,20160923,12623.8,209180,19930501,734.3,22.05,200.69,65.58,1.5,2.78,237.86,204.49,3.04,,0,0,,184,3,6464,34,0157572,2,0,,359.8,12706.217,,0,12,CLASS A NEAT,Tonnes
104/05-26-040-12W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,PROVOST,,19930428,1013,1004.14,19930501,CAYMAN VENTURES LTD.,3,,20000701,Abandoned Zone Crude Oil,399.18,338.6,PRIMARY,,986,983,,,81592.04,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1315702.6,79401.31,20160923,12623.8,209180,19930501,734.3,22.05,200.69,65.58,1.5,2.78,237.86,204.49,3.04,,0,0,,184,3,6464,34,0157572,2,0,,359.8,12706.217,,0,7,GPSL/GPCEM/THX,Tonnes
104/05-26-040-12W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,PROVOST,,19930428,1013,1004.14,19930501,CAYMAN VENTURES LTD.,3,,20000701,Abandoned Zone Crude Oil,399.18,338.6,PRIMARY,,986,983,,,81592.04,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1315702.6,79401.31,20160923,12623.8,209180,19930501,734.3,22.05,200.69,65.58,1.5,2.78,237.86,204.49,3.04,,0,0,,184,3,6464,34,0157572,2,0,,359.8,12706.217,,0,12.5,LIGHT WEIGHT,Tonnes
104/05-26-040-12W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,PROVOST,,19930428,1013,1004.14,19930501,CAYMAN VENTURES LTD.,3,,20000701,Abandoned Zone Crude Oil,399.18,338.6,PRIMARY,,986,983,,,81592.04,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1315702.6,79401.31,20160923,12623.8,209180,19930501,734.3,22.05,200.69,65.58,1.5,2.78,237.86,204.49,3.04,,0,0,,184,3,6464,34,0157572,2,0,,359.8,12706.217,,0,7,GPSL/GPCEM/THX,Tonnes
103/06-27-040-12W4/00,DEVELOPMENT,Vertical,DEVONIAN SYSTEM,PROVOST ELLERSLIE D,PROVOST,,20091217,1026,0,20091221,ENCORE CORING & DRILLING INC.,3,,20140201,Abandoned Crude Oil,399.31,337.7,PRIMARY,,977,974,,,25470.025,ELLERSLIE D,,280,AB4,Medicine Hat,0,69340.76,24710.15,20160226,3928.6,11024.3,20091220,733,3.53,34.23,4.45,3.06,10.01,79.58,34.84,10.54,,0,0,,184,3,6464,34,0415464,1,0,,124.8,4407.2705,,0,9,CLASS C NEAT,Tonnes
103/06-27-040-12W4/00,DEVELOPMENT,Vertical,DEVONIAN SYSTEM,PROVOST ELLERSLIE D,PROVOST,,20091217,1026,0,20091221,ENCORE CORING & DRILLING INC.,3,,20140201,Abandoned Crude Oil,399.31,337.7,PRIMARY,,977,974,,,25470.025,ELLERSLIE D,,280,AB4,Medicine Hat,0,69340.76,24710.15,20160226,3928.6,11024.3,20091220,733,3.53,34.23,4.45,3.06,10.01,79.58,34.84,10.54,,0,0,,184,3,6464,34,0415464,1,0,,124.8,4407.2705,,0,26,LIGHT WEIGHT,Tonnes
100/09-34-025-17W4/00,DEVELOPMENT,Vertical,PEKISKO FM,,WINTERING HILLS,,20060208,1293,0,20060222,CHAMPION DRILLING INC.,,,,Abandoned Zone,541.29,322.3,PRIMARY,,,,,,,,YES,140,AB3,Calgary/Edmonton,,,,20130703,,,20060221,859.6,,,,,,,,,,,,,,,,,0350469,4,,,,,,,5.6,CLASS A NEAT,Tonnes
100/09-34-025-17W4/00,DEVELOPMENT,Vertical,PEKISKO FM,,WINTERING HILLS,,20060208,1293,0,20060222,CHAMPION DRILLING INC.,,,,Abandoned Zone,541.29,322.3,PRIMARY,,,,,,,,YES,140,AB3,Calgary/Edmonton,,,,20130703,,,20060221,859.6,,,,,,,,,,,,,,,,,0350469,4,,,,,,,18,CLASS A NEAT,Tonnes
100/09-34-025-17W4/03,DEVELOPMENT,Vertical,PEKISKO FM,,WINTERING HILLS,,20060208,1293,0,20060222,CHAMPION DRILLING INC.,,,,Abandoned,541.29,322.3,PRIMARY,,,,,,,,YES,140,AB3,Calgary/Edmonton,,,,20130703,,,20060221,859.6,,,,,,,,,,,,,,,,,0350469,4,,,,,,,5.6,CLASS A NEAT,Tonnes
100/09-34-025-17W4/03,DEVELOPMENT,Vertical,PEKISKO FM,,WINTERING HILLS,,20060208,1293,0,20060222,CHAMPION DRILLING INC.,,,,Abandoned,541.29,322.3,PRIMARY,,,,,,,,YES,140,AB3,Calgary/Edmonton,,,,20130703,,,20060221,859.6,,,,,,,,,,,,,,,,,0350469,4,,,,,,,18,CLASS A NEAT,Tonnes
104/16-31-044-11W4/00,DEVELOPMENT,Deviated,CUMMINGS MBR,VIKING-KINSELLA SPARKY I,VIKING-KINSELLA,,19970813,917,828.93,19970821,PRECISION DRILLING CORPORATION,2,,20120801,Abandoned Crude Oil,428.7,273.3,PRIMARY,Waterflood,849,847,,,11205.88,SPARKY I,YES,BWL,AB4,Medicine Hat,0,574091.8,9871.2295,20190508,1569.4,91273.3,19970820,695.7,1.81,3.65,78.19,0.69,0.38,151.89,3.96,0.5,,0,0,,140,2,5262,30,0204922,1,0,,219.2,7740.975,,0,5.4,CLASS G NEAT,Tonnes
